LABELS
SEPARATOR TAB
DATA
int20	 p__Euryarchaeota
int57	 p__Euryarchaeota
int70	 p__Euryarchaeota
int74	 p__Euryarchaeota
int82	 p__Euryarchaeota
int129	 p__Euryarchaeota
int165	 p__Euryarchaeota
int168	 p__Euryarchaeota
int171	 p__Euryarchaeota
int173	 p__Euryarchaeota
int189	 p__Euryarchaeota
int206	 p__Euryarchaeota
int250	 p__Euryarchaeota
int258	 p__Euryarchaeota
int296	 p__Euryarchaeota
int311	 p__Euryarchaeota
int315	 p__Euryarchaeota
int318	 p__Euryarchaeota
int320	 p__Euryarchaeota
int328	 p__Euryarchaeota
int330	 p__Euryarchaeota
int332	 p__Euryarchaeota
int380	 p__Euryarchaeota
int400	 p__Euryarchaeota
int404	 p__Euryarchaeota
int412	 p__Euryarchaeota
int415	 p__Euryarchaeota
int429	 p__Euryarchaeota
int435	 p__Euryarchaeota
int439	 p__Euryarchaeota
int458	 p__Euryarchaeota
int496	 p__Euryarchaeota
int501	 p__Euryarchaeota
int513	 p__Euryarchaeota
int553	 p__Euryarchaeota
int574	 p__Euryarchaeota
int609	 p__Euryarchaeota
int611	 p__Euryarchaeota
int614	 p__Euryarchaeota
int622	 p__Euryarchaeota
int640	 p__Euryarchaeota
int642	 p__Euryarchaeota
int650	 p__Euryarchaeota
int651	 p__Euryarchaeota
int653	 p__Euryarchaeota
int654	 p__Euryarchaeota
int655	 p__Euryarchaeota
int656	 p__Euryarchaeota
int659	 p__Euryarchaeota
int704	 p__Euryarchaeota
int712	 p__Euryarchaeota
int716	 p__Euryarchaeota
int720	 p__Euryarchaeota
int729	 p__Euryarchaeota
int735	 p__Euryarchaeota
int782	 p__Euryarchaeota
int795	 p__Euryarchaeota
int802	 p__Euryarchaeota
int839	 p__Euryarchaeota
int854	 p__Euryarchaeota
int899	 p__Euryarchaeota
int901	 p__Euryarchaeota
int909	 p__Euryarchaeota
int953	 p__Euryarchaeota
int976	 p__Euryarchaeota
int984	 p__Euryarchaeota
int1025	 p__Euryarchaeota
int1036	 p__Euryarchaeota
int1044	 p__Euryarchaeota
int1064	 p__Euryarchaeota
int1082	 p__Euryarchaeota
int1129	 p__Euryarchaeota
int1140	 p__Euryarchaeota
int1148	 p__Euryarchaeota
int1194	 p__Euryarchaeota
int1212	 p__Euryarchaeota
int1216	 p__Euryarchaeota
int1254	 p__Euryarchaeota
int1257	 p__Euryarchaeota
int1271	 p__Euryarchaeota
int1299	 p__Euryarchaeota
int1345	 p__Euryarchaeota
int1366	 p__Euryarchaeota
int1368	 p__Euryarchaeota
int1377	 p__Euryarchaeota
int1380	 p__Euryarchaeota
int1426	 p__Euryarchaeota
int1446	 p__Euryarchaeota
int1494	 p__Euryarchaeota
int1513	 p__Euryarchaeota
int1519	 p__Nanoarchaeota
int1545	 p__Crenarchaeota
int1555	 p__Crenarchaeota
int1556	 p__Crenarchaeota
int1566	 p__Crenarchaeota
int1614	 p__Crenarchaeota
int1618	 p__Crenarchaeota
int1626	 p__Crenarchaeota
int1672	 p__Crenarchaeota
int1678	 p__Crenarchaeota
int1699	 p__Crenarchaeota
int1737	 p__Crenarchaeota
int1747	 p__Crenarchaeota
int1762	 p__Crenarchaeota
int1776	 p__Crenarchaeota
int1797	 p__Crenarchaeota
int1813	 p__Crenarchaeota
int1818	 p__Crenarchaeota
int1821	 p__Crenarchaeota
int1839	 p__Crenarchaeota
int1868	 p__Crenarchaeota
int1877	 p__Crenarchaeota
int1907	 p__Crenarchaeota
int1916	 p__Crenarchaeota
int1943	 p__Crenarchaeota
int1946	 p__Crenarchaeota
int1959	 p__Crenarchaeota
int1960	 p__Crenarchaeota
int1996	 p__Crenarchaeota
int2044	 p__Crenarchaeota
int2045	 p__Crenarchaeota
int2051	 p__Crenarchaeota
int2054	 p__Crenarchaeota
int2086	 p__Crenarchaeota
int2097	 p__Crenarchaeota
int2144	 p__Crenarchaeota
int2150	 p__Crenarchaeota
int2153	 p__Crenarchaeota
int2198	 p__Crenarchaeota
int2202	 p__Crenarchaeota
int2212	 p__Crenarchaeota
int2236	 p__Crenarchaeota
int2248	 p__Crenarchaeota
int2250	 p__Crenarchaeota
int2256	 p__Crenarchaeota
int2258	 p__Crenarchaeota
int2273	 p__Crenarchaeota
int2317	 p__Crenarchaeota
int2342	 p__Crenarchaeota
int2347	 p__Crenarchaeota
int2373	 p__[Parvarchaeota]
int2376	 p__[Parvarchaeota]
int2420	 p__[Parvarchaeota]
int2424	 p__[Parvarchaeota]
int2440	 p__[Parvarchaeota]
int2488	 p__SR1
int2532	 p__GN02
int2552	 p__GN02
int2582	 p__GN02
int2606	 p__GN02
int2645	 p__GN02
int2660	 p__GN02
int2675	 p__GN02
int2679	 p__GN02
int2681	 p__GN02
int2684	 p__GN02
int2687	 p__GN02
int2688	 p__GN02
int2689	 p__GN02
int2692	 p__GN02
int2738	 p__GN02
int2747	 p__GN02
int2760	 p__
int2762	 p__
int2795	 p__OD1
int2796	 p__OD1
int2806	 p__OD1
int2825	 p__OD1
int2859	 p__OD1
int2880	 p__OD1
int2930	 p__OD1
int2935	 p__OD1
int2941	 p__OD1
int2947	 p__OD1
int2952	 p__OD1
int2963	 p__OD1
int2968	 p__OD1
int3015	 p__OD1
int3020	 p__OD1
int3024	 p__OD1
int3025	 p__OD1
int3031	 p__OD1
int3035	 p__OD1
int3037	 p__OD1
int3085	 p__OD1
int3109	 p__OD1
int3112	 p__OD1
int3115	 p__OD1
int3120	 p__OD1
int3144	 p__OD1
int3151	 p__OD1
int3155	 p__OD1
int3169	 p__OD1
int3193	 p__OD1
int3201	 p__OD1
int3236	 p__OD1
int3240	 p__OP11
int3253	 p__OD1
int3256	 p__OP11
int3276	 p__OP11
int3313	 p__OP11
int3317	 p__OP11
int3349	 p__OP11
int3350	 p__OP11
int3356	 p__OP11
int3358	 p__OP11
int3359	 p__OP11
int3360	 p__OP11
int3385	 p__OP11
int3427	 p__OP11
int3434	 p__OP11
int3439	 p__OP11
int3447	 p__OP11
int3455	 p__OP11
int3464	 p__OP11
int3512	 p__OP11
int3514	 p__OP11
int3522	 p__OP11
int3525	 p__OP11
int3530	 p__OP11
int3562	 p__OP11
int3574	 p__OP11
int3592	 p__WS6
int3636	 p__WS6
int3649	 p__MVP-21
int3652	 p__WS5
int3657	 p__TM7
int3662	 p__TM7
int3663	 p__TM7
int3665	 p__TM7
int3667	 p__TM7
int3668	 p__TM7
int3714	 p__TM7
int3719	 p__TM7
int3748	 p__TM7
int3774	 p__TM7
int3796	 p__TM7
int3808	 p__TM7
int3813	 p__TM7
int3824	 p__TM7
int3827	 p__TM7
int3856	 p__TM7
int3866	 p__TM7
int3897	 p__TM7
int3917	 p__TM7
int3949	 p__TM7
int3954	 p__TM7
int3970	 p__TM7
int3977	 p__TM7
int3981	 p__TM7
int3990	 p__TM7
int4011	 p__TM7
int4014	 p__
int4283	 p__Cyanobacteria
int4284	 p__Cyanobacteria
4339110	 p__Cyanobacteria
634455	 p__Cyanobacteria
280745	 p__Cyanobacteria
int4287	 p__Cyanobacteria
int6078	 p__Cyanobacteria
int6125	 p__Cyanobacteria
int7233	 p__Proteobacteria
int20357	 p__Proteobacteria
int27996	 p__Proteobacteria
int28015	 p__Proteobacteria
4457583	 p__
int28081	 p__KSB3
int32183	 p__Proteobacteria
int32291	 p__Proteobacteria
217097	 p__
int32387	 p__Proteobacteria
390897	 p__
int32648	 p__[Thermi]
int32929	 p__TM6
int32993	 p__Chlamydiae
int33050	 p__WWE1
254542	 p__
int33062	 p__Proteobacteria
4479190	 p__
int33109	 p__Planctomycetes
int33156	 p__AC1
int33171	 p__LCP-89
int33194	 p__GOUTA4
int33201	 p__MVS-104
int33208	 p__H-178
int33212	 p__
int33286	 p__[Caldithrix]
int33327	 p__Caldithrix
int46285	 p__Bacteroidetes
int46675	 p__Chlorobi
4345876	 p__
int46678	 p__OC31
int46850	 p__SAR406
4319633	 p__
int46865	 p__
int47048	 p__Fibrobacteres
int47157	 p__GN04
771689	 p__
int48002	 p__Gemmatimonadetes
int48003	 p__
int48012	 p__
int48013	 p__
int48017	 p__
int48019	 p__VHS-B3-43
int48020	 p__
int48029	 p__Poribacteria
int48035	 p__
int48301	 p__OP3
int48747	 p__Verrucomicrobia
int48777	 p__LD1
89297	 p__
int48836	 p__BRC1
int48857	 p__Hyd24-12
int48986	 p__BRC1
int48995	 p__OP8
int49176	 p__WS3
int49181	 p__
int49208	 p__PAUC34f
int49248	 p__WS3
int49252	 p__
805140	 p__
int49255	 p__AncK6
int49262	 p__
int49270	 p__
int49287	 p__GN01
int49289	 p__
int50692	 p__Spirochaetes
int50693	 p__
int50703	 p__BHI80-139
int50808	 p__Firmicutes
int50811	 p__
int50846	 p__NC10
int51793	 p__Proteobacteria
int51894	 p__Proteobacteria
int52144	 p__Proteobacteria
int52607	 p__Nitrospirae
int52646	 p__
int52654	 p__
int52666	 p__TPD-58
int52669	 p__
int52675	 p__
int56139	 p__Acidobacteria
int56146	 p__BRC1
int56270	 p__NKB19
int56275	 p__
int56280	 p__
int56304	 p__BHI80-139
int56306	 p__
int56307	 p__
int56317	 p__NPL-UPA2
int56498	 p__Elusimicrobia
int56500	 p__
273599	 p__
int56516	 p__FCPU426
int56670	 p__OP8
int56688	 p__CD12
int61990	 p__Actinobacteria
int62017	 p__GAL15
149399	 p__OctSpA1-106
794817	 p__
int62029	 p__Armatimonadetes
int62090	 p__OP1
int62094	 p__
int62166	 p__Aquificae
int62167	 p__
int62187	 p__Firmicutes
int62189	 p__EM19
int62202	 p__Firmicutes
int62207	 p__
int62209	 p__
int62243	 p__Caldiserica
int62248	 p__
159357	 p__
591320	 p__
int62593	 p__Armatimonadetes
int62664	 p__FBP
int62712	 p__WS1
int62723	 p__SC4
815674	 p__
int62733	 p__WS4
int62738	 p__Dictyoglomi
int62811	 p__Thermotogae
4361297	 p__Firmicutes
int62880	 p__OP9
int62884	 p__Firmicutes
534023	 p__
int62898	 p__EM3
int62903	 p__
int66256	 p__Planctomycetes
int66257	 p__
int66293	 p__Chloroflexi
int66354	 p__Chloroflexi
int66482	 p__Chloroflexi
int67957	 p__Chloroflexi
int68059	 p__Chloroflexi
int68275	 p__Chloroflexi
int69411	 p__Chloroflexi
int69413	 p__Chloroflexi
int69416	 p__Chloroflexi
int69446	 p__AD3
int69510	 p__ZB3
int69528	 p__AC1
int69559	 p__WS2
int69640	 p__WPS-2
int69641	 p__
int70945	 p__Verrucomicrobia
4332997	 p__
int71155	 p__Lentisphaerae
int71195	 p__Spirochaetes
int71205	 p__MAT-CR-M4-B07
int71207	 p__TA06
3291002	 p__
int71257	 p__SBR1093
int71263	 p__Chrysiogenetes
int71303	 p__Deferribacteres
int71308	 p__
int71549	 p__Fusobacteria
int71555	 p__BHI80-139
int71779	 p__Synergistetes
int71850	 p__Firmicutes
int74630	 p__Firmicutes
int74632	 p__
int74657	 p__Firmicutes
int75388	 p__Tenericutes
int77033	 p__Firmicutes
int77141	 p__Firmicutes
int77149	 p__Firmicutes
int77159	 p__Firmicutes
int77165	 p__
int77940	 p__Firmicutes
int78618	 p__Firmicutes
int78638	 p__Firmicutes
int78843	 p__Firmicutes
int80945	 p__Firmicutes
int80961	 p__Firmicutes
int83307	 p__Firmicutes
int83351	 p__Firmicutes
int83371	 p__Firmicutes
260670	 p__Firmicutes
173306	 p__Firmicutes
546541	 p__Firmicutes
328816	 p__Firmicutes
322376	 p__Firmicutes
int83632	 p__Actinobacteria
int99291	 p__Firmicutes
